size of int array, time for copying into enclave (TE-seconds),TE-ms,TE-ns,time for copying to other untrusted memory region(TO-s),TO-ms,TO-ns,kb,mb
25600,0,0,590823,0,0,56776,100,0
25856,0,0,102585,0,0,14022,101,0
26112,0,0,99892,0,0,13922,102,0
26368,0,0,94322,0,0,12079,103,0
26624,0,0,109500,0,0,10969,104,0
26880,0,0,65010,0,0,9648,105,0
27136,0,0,65065,0,0,8780,106,0
27392,0,0,63172,0,0,8121,107,0
27648,0,0,74788,0,0,11464,108,0
27904,0,0,65337,0,0,8844,109,0
28160,0,0,65454,0,0,8665,110,0
28416,0,0,66229,0,0,8929,111,0
28672,0,0,78083,0,0,12396,112,0
28928,0,0,66961,0,0,9496,113,0
29184,0,0,67242,0,0,9525,114,0
29440,0,0,68997,0,0,9355,115,0
29696,0,0,79669,0,0,11862,116,0
29952,0,0,70236,0,0,9659,117,0
30208,0,0,86544,0,0,12687,118,0
30464,0,0,74466,0,0,12642,119,0
30720,0,0,85515,0,0,11832,120,0
30976,0,0,73995,0,0,9905,121,0
31232,0,0,72794,0,0,9890,122,0
31488,0,0,72812,0,0,10124,123,0
31744,0,0,83422,0,0,14250,124,0
32000,0,0,71354,0,0,8884,125,0
32256,0,0,71453,0,0,9165,126,0
32512,0,0,81783,0,0,9910,127,0
32768,0,0,117080,0,0,13864,128,0
33024,0,0,76599,0,0,10269,129,0
33280,0,0,77791,0,0,12008,130,0
33536,0,0,102782,0,0,9281,131,0
33792,0,0,85399,0,0,11359,132,0
34048,0,0,76418,0,0,9738,133,0
34304,0,0,74743,0,0,9501,134,0
34560,0,0,77371,0,0,9594,135,0
34816,0,0,84411,0,0,11672,136,0
35072,0,0,77199,0,0,9761,137,0
35328,0,0,77798,0,0,9704,138,0
35584,0,0,78863,0,0,9699,139,0
35840,0,0,86818,0,0,11742,140,0
36096,0,0,79934,0,0,10169,141,0
36352,0,0,120594,0,0,10532,142,0
36608,0,0,85022,0,0,10784,143,0
36864,0,0,92799,0,0,13052,144,0
37120,0,0,85357,0,0,12579,145,0
37376,0,0,85832,0,0,11814,146,0
37632,0,0,86883,0,0,11996,147,0
37888,0,0,167405,0,0,14781,148,0
38144,0,0,171483,0,0,14957,149,0
38400,0,0,169092,0,0,14705,150,0
38656,0,0,117483,0,0,24484,151,0
38912,0,0,114485,0,0,15042,152,0
39168,0,0,94491,0,0,13404,153,0
39424,0,0,99713,0,0,12467,154,0
39680,0,0,104784,0,0,10971,155,0
39936,0,0,177995,0,0,117773,156,0
40192,0,0,157385,0,0,12525,157,0
40448,0,0,104829,0,0,13155,158,0
40704,0,0,99522,0,0,11410,159,0
40960,0,0,112534,0,0,14124,160,0
41216,0,0,99962,0,0,11384,161,0
41472,0,0,98626,0,0,11428,162,0
41728,0,0,99967,0,0,11558,163,0
41984,0,0,111035,0,0,13716,164,0
42240,0,0,100917,0,0,11807,165,0
42496,0,0,102279,0,0,11615,166,0
42752,0,0,101586,0,0,11847,167,0
43008,0,0,114611,0,0,14270,168,0
43264,0,0,107061,0,0,11931,169,0
43520,0,0,106643,0,0,31645,170,0
43776,0,0,121380,0,0,12390,171,0
44032,0,0,120325,0,0,14316,172,0
44288,0,0,111327,0,0,12414,173,0
44544,0,0,111073,0,0,12518,174,0
44800,0,0,113295,0,0,12632,175,0
45056,0,0,121470,0,0,14320,176,0
45312,0,0,113862,0,0,12765,177,0
45568,0,0,113018,0,0,12659,178,0
45824,0,0,114505,0,0,12909,179,0
46080,0,0,125158,0,0,15957,180,0
46336,0,0,118723,0,0,12767,181,0
46592,0,0,117771,0,0,12874,182,0
46848,0,0,117234,0,0,13027,183,0
47104,0,0,138878,0,0,15112,184,0
47360,0,0,119221,0,0,13127,185,0
47616,0,0,120089,0,0,13400,186,0
47872,0,0,121030,0,0,13584,187,0
48128,0,0,128852,0,0,15386,188,0
48384,0,0,121153,0,0,13606,189,0
48640,0,0,123056,0,0,13652,190,0
48896,0,0,122534,0,0,13884,191,0
49152,0,0,132675,0,0,15735,192,0
49408,0,0,124265,0,0,14080,193,0
49664,0,0,126239,0,0,13780,194,0
49920,0,0,125258,0,0,14136,195,0
50176,0,0,136769,0,0,15843,196,0
50432,0,0,126187,0,0,13966,197,0
50688,0,0,128632,0,0,14380,198,0
50944,0,0,128997,0,0,14292,199,0
51200,0,0,137956,0,0,17604,200,0
51456,0,0,129080,0,0,14398,201,0
51712,0,0,132418,0,0,14368,202,0
51968,0,0,132195,0,0,14438,203,0
52224,0,0,140745,0,0,16324,204,0
52480,0,0,135053,0,0,14572,205,0
52736,0,0,133744,0,0,14855,206,0
52992,0,0,135303,0,0,14754,207,0
53248,0,0,147273,0,0,16817,208,0
53504,0,0,136011,0,0,14952,209,0
53760,0,0,137438,0,0,14980,210,0
54016,0,0,146518,0,0,15247,211,0
54272,0,0,148790,0,0,17654,212,0
54528,0,0,141008,0,0,15022,213,0
54784,0,0,140147,0,0,15285,214,0
55040,0,0,142392,0,0,15117,215,0
55296,0,0,153750,0,0,17703,216,0
55552,0,0,143725,0,0,15887,217,0
55808,0,0,146970,0,0,15499,218,0
56064,0,0,147871,0,0,15548,219,0
56320,0,0,197736,0,0,18797,220,0
56576,0,0,152564,0,0,15718,221,0
56832,0,0,154870,0,0,15634,222,0
57088,0,0,155277,0,0,15917,223,0
57344,0,0,166531,0,0,18122,224,0
57600,0,0,156189,0,0,15874,225,0
57856,0,0,156272,0,0,16112,226,0
58112,0,0,156511,0,0,16127,227,0
58368,0,0,167795,0,0,18119,228,0
58624,0,0,159504,0,0,16520,229,0
58880,0,0,159320,0,0,16488,230,0
59136,0,0,160497,0,0,43222,231,0
59392,0,0,172947,0,0,19582,232,0
59648,0,0,170308,0,0,16957,233,0
59904,0,0,164943,0,0,17232,234,0
60160,0,0,168387,0,0,16816,235,0
60416,0,0,175412,0,0,18821,236,0
60672,0,0,170777,0,0,17084,237,0
60928,0,0,171422,0,0,17064,238,0
