size of int array, time for sorting inside enclave (SE-seconds),SE-ms,SE-ns,time for sorting outside enclave(SO-s),SO-ms,SO-ns,kb,mb
256,0,0,-1,0,0,-1,1,0
512,0,0,-1,0,0,-1,2,0
768,0,0,-1,0,0,-1,3,0
1024,0,1,-1,0,1,-1,4,0
1280,0,2,-1,0,2,-1,5,0
1536,0,3,-1,0,3,-1,6,0
1792,0,4,-1,0,4,-1,7,0
2048,0,5,-1,0,5,-1,8,0
2304,0,6,-1,0,6,-1,9,0
2560,0,8,-1,0,8,-1,10,0
2816,0,10,-1,0,10,-1,11,0
3072,0,12,-1,0,13,-1,12,0
3328,0,14,-1,0,14,-1,13,0
3584,0,16,-1,0,16,-1,14,0
3840,0,19,-1,0,19,-1,15,0
4096,0,22,-1,0,22,-1,16,0
4352,0,24,-1,0,24,-1,17,0
4608,0,27,-1,0,27,-1,18,0
4864,0,30,-1,0,29,-1,19,0
5120,0,33,-1,0,33,-1,20,0
5376,0,36,-1,0,36,-1,21,0
5632,0,40,-1,0,40,-1,22,0
5888,0,44,-1,0,48,-1,23,0
6144,0,49,-1,0,48,-1,24,0
6400,0,53,-1,0,53,-1,25,0
6656,0,58,-1,0,57,-1,26,0
6912,0,62,-1,0,62,-1,27,0
7168,0,66,-1,0,66,-1,28,0
7424,0,71,-1,0,71,-1,29,0
7680,0,76,-1,0,75,-1,30,0
7936,0,81,-1,0,79,-1,31,0
8192,0,96,-1,0,93,-1,32,0
8448,0,105,-1,0,94,-1,33,0
8704,0,97,-1,0,102,-1,34,0
8960,0,114,-1,0,110,-1,35,0
9216,0,108,-1,0,109,-1,36,0
9472,0,116,-1,0,123,-1,37,0
9728,0,123,-1,0,122,-1,38,0
9984,0,133,-1,0,128,-1,39,0
10240,0,136,-1,0,135,-1,40,0
10496,0,139,-1,0,138,-1,41,0
10752,0,146,-1,0,146,-1,42,0
11008,0,153,-1,0,152,-1,43,0
11264,0,162,-1,0,163,-1,44,0
11520,0,168,-1,0,168,-1,45,0
11776,0,174,-1,0,174,-1,46,0
12032,0,182,-1,0,182,-1,47,0
12288,0,190,-1,0,190,-1,48,0
12544,0,198,-1,0,198,-1,49,0
12800,0,206,-1,0,210,-1,50,0
